Payer,Service,Age Group,Gender,2002,2004,2006,2008,2010,2012
Medicaid,Dental Services,Total,Total,3709,4264,4782,6227,8399,8612
Medicaid,Dental Services,0-18,Total,2084,2590,2932,3726,5016,5059
Medicaid,Dental Services,19-44,Total,936,984,1074,1401,1931,1965
Medicaid,Dental Services,45-64,Total,433,440,514,731,975,1086
Medicaid,Dental Services,65-84,Total,207,202,210,290,358,374
Medicaid,Dental Services,85+,Total,48,47,51,80,119,129
Medicaid,Dental Services,Total,Males,1563,1823,2039,2674,3643,3764
Medicaid,Dental Services,0-18,Males,1033,1285,1454,1859,2504,2532
Medicaid,Dental Services,19-44,Males,275,281,293,393,572,604
Medicaid,Dental Services,45-64,Males,176,181,211,306,420,475
Medicaid,Dental Services,65-84,Males,69,68,72,99,123,127
Medicaid,Dental Services,85+,Males,9,9,10,16,24,26
Medicaid,Dental Services,Total,Females,2146,2440,2742,3554,4757,4848
Medicaid,Dental Services,0-18,Females,1051,1305,1478,1867,2513,2528
Medicaid,Dental Services,19-44,Females,661,703,782,1008,1359,1361
Medicaid,Dental Services,45-64,Females,257,260,303,424,555,611
Medicaid,Dental Services,65-84,Females,138,134,139,191,235,247
Medicaid,Dental Services,85+,Females,39,38,41,64,95,103
Medicare,Dental Services,Total,Total,79,71,103,221,242,368
Medicare,Dental Services,0-18,Total,0,0,0,0,0,0
Medicare,Dental Services,19-44,Total,0,0,2,3,3,5
Medicare,Dental Services,45-64,Total,4,4,10,22,25,44
Medicare,Dental Services,65-84,Total,63,55,75,163,176,264
Medicare,Dental Services,85+,Total,12,11,16,33,37,55
Medicare,Dental Services,Total,Males,36,32,46,100,109,168
Medicare,Dental Services,0-18,Males,0,0,0,0,0,0
Medicare,Dental Services,19-44,Males,0,0,1,2,2,3
Medicare,Dental Services,45-64,Males,2,2,5,10,12,22
Medicare,Dental Services,65-84,Males,29,26,34,76,82,123
Medicare,Dental Services,85+,Males,4,4,6,12,14,20
Medicare,Dental Services,Total,Females,43,39,57,121,132,200
Medicare,Dental Services,0-18,Females,0,0,0,0,0,0
Medicare,Dental Services,19-44,Females,0,0,1,2,2,3
Medicare,Dental Services,45-64,Females,2,2,5,11,13,22
Medicare,Dental Services,65-84,Females,33,29,41,88,94,141
Medicare,Dental Services,85+,Females,7,7,10,21,23,34
