Code,Item,Group,Region_Number,Region_Name,State_Name,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,36260,43457,51060,58116,64599,69795,74769,80951,86404,98277,107266,117273,132368,146235,163430,179858,193573,204204,202559,206035,216333,239111,256551,274001,300096,326278,382297,408710,442014,470329,488535,513520,535105,555120,580583,8.5
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,2196,2622,3002,3382,3791,4107,4243,4492,4774,5501,6060,6853,7777,8699,9597,10658,11540,11964,11669,11770,12377,13605,14323,15163,16522,17507,20414,21835,23314,24707,25508,26709,27772,28773,30212,8
1,Medicare/Personal Health Care (Millions of Dollars),Region,2,Mideast,,8036,9471,11079,12748,14560,15611,16764,17997,19311,21637,23401,24943,26959,29787,32307,34986,37257,39443,40206,41225,43386,47487,50240,52158,55686,60199,69798,74897,80355,84410,86762,90890,93397,96272,100294,7.7
1,Medicare/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,6660,8036,9265,10269,11190,11956,12654,13669,14098,15895,17211,18655,21120,22882,25514,28016,29831,31290,31202,31420,33108,37062,39523,42377,46684,50744,59284,63271,68352,72513,74852,78504,81229,84139,87562,7.9
1,Medicare/Personal Health Care (Millions of Dollars),Region,4,Plains,,2978,3531,4091,4597,4937,5208,5432,5759,6002,6750,7473,7862,8863,9519,10455,11443,12115,12744,12724,13026,13809,15462,16475,17562,19258,20968,24723,26299,28017,29454,30564,31972,33465,34795,36635,7.7
1,Medicare/Personal Health Care (Millions of Dollars),Region,5,Southeast,,7582,9235,11045,12751,14231,15712,16975,18629,20367,23514,26255,29420,34040,37668,42939,47347,51199,53995,52745,53850,56569,62802,67660,73062,81064,88182,104010,111352,120345,128532,133829,140532,146708,151665,158371,9.4
1,Medicare/Personal Health Care (Millions of Dollars),Region,6,Southwest,,2774,3231,4119,4781,5246,5538,6060,6721,7247,8302,9142,9940,11507,12934,15240,17554,19495,20929,20216,19884,20717,22838,25009,27427,30831,34264,40540,43618,46957,50478,53042,55822,58314,60506,63414,9.6
1,Medicare/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,689,828,972,1100,1212,1363,1488,1581,1713,1953,2105,2307,2664,2996,3376,3826,4121,4340,4264,4429,4679,5193,5637,6142,6879,7551,8914,9547,10264,11066,11671,12354,13177,13805,14849,9.4
1,Medicare/Personal Health Care (Millions of Dollars),Region,8,Far West,,5346,6503,7487,8488,9433,10300,11152,12104,12892,14725,15619,17292,19439,21751,24001,26029,28014,29500,29534,30431,31689,34661,37685,40108,43172,46862,54613,57890,64409,69171,72307,76736,81043,85166,89245,8.6
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,Alabama,528,672,786,883,982,1059,1201,1324,1415,1622,1797,2033,2364,2618,2937,3222,3422,3591,3374,3488,3646,4014,4344,4707,5223,5644,6678,7083,7603,7970,8214,8518,8860,9148,9581,8.9
