National Health Expenditure (NHE) Amounts by Type of Expenditure and Source of Funds: Calendar Years 1960-2025 in PROJECTIONS format,,,,,,,,,,,
The projections are based on the 2015 version of the NHE released in December 2016.,,,,,,,,,,,
,,,,,,,,,,,
LEVELS in $Millions,,,,,,,,,,,
First projected year is 2016,,,,,,,,,,,
,,,,,,,,,,,
CATEGORY,Projections_Vintage,Historical_or_Projected_Data,YEAR,TOTAL,OUT_OF_POCKET,TOTAL_HEALTH_INSURANCE,PRIVATE_HEALTH_INSURANCE,MEDICARE,MEDICAID,OTHER_HEALTH_INSURANCE,OTHER_THIRD_PARTY
National Health Expenditures,02/15/2017,Historical,Y1960,27214,12949,7497,5812,0,0,1685,6768
National Health Expenditures,02/15/2017,Historical,Y1961,29138,13357,8236,6468,0,0,1768,7545
National Health Expenditures,02/15/2017,Historical,Y1962,31842,14255,8999,7178,0,0,1822,8587
National Health Expenditures,02/15/2017,Historical,Y1963,34595,15311,9892,7952,0,0,1940,9392
National Health Expenditures,02/15/2017,Historical,Y1964,38394,16928,10971,9052,0,0,1919,10495
National Health Expenditures,02/15/2017,Historical,Y1965,41852,18209,12023,10072,0,0,1951,11621
National Health Expenditures,02/15/2017,Historical,Y1966,46081,18594,15673,10296,1842,1304,2231,11814
National Health Expenditures,02/15/2017,Historical,Y1967,51565,18537,21109,10452,4924,3141,2592,11920
National Health Expenditures,02/15/2017,Historical,Y1968,58402,20500,24379,11830,6218,3541,2789,13524
National Health Expenditures,02/15/2017,Historical,Y1969,65923,22601,27565,13363,7045,4174,2983,15757
National Health Expenditures,02/15/2017,Historical,Y1970,74563,24953,31763,15499,7672,5290,3302,17846
National Health Expenditures,02/15/2017,Historical,Y1971,82728,26312,36727,17840,8443,6695,3749,19688
National Health Expenditures,02/15/2017,Historical,Y1972,92657,28646,42617,20690,9325,8314,4288,21395
National Health Expenditures,02/15/2017,Historical,Y1973,102809,31625,48027,22994,10730,9423,4880,23158
National Health Expenditures,02/15/2017,Historical,Y1974,116545,34373,55956,26080,13428,11073,5375,26216
National Health Expenditures,02/15/2017,Historical,Y1975,133283,37262,66330,30578,16336,13446,5970,29691
National Health Expenditures,02/15/2017,Historical,Y1976,152742,40647,79068,37425,19694,15188,6761,33027
National Health Expenditures,02/15/2017,Historical,Y1977,173850,44853,93115,45692,22891,17464,7068,35882
National Health Expenditures,02/15/2017,Historical,Y1978,195332,48016,106582,52523,26668,19465,7927,40733
National Health Expenditures,02/15/2017,Historical,Y1979,221528,52312,122739,60955,30922,22332,8531,46477
National Health Expenditures,02/15/2017,Historical,Y1980,255331,58146,142333,69225,37387,26032,9689,54852
National Health Expenditures,02/15/2017,Historical,Y1981,296155,65355,167730,81804,44769,30307,10849,63070
National Health Expenditures,02/15/2017,Historical,Y1982,334044,72450,190651,94227,52351,32011,12063,70944
National Health Expenditures,02/15/2017,Historical,Y1983,367809,78619,212741,105128,59559,35266,12789,76448
National Health Expenditures,02/15/2017,Historical,Y1984,404995,86500,237405,119053,66207,38233,13912,81090
National Health Expenditures,02/15/2017,Historical,Y1985,442900,95640,259273,131311,71829,40937,15196,87987
National Health Expenditures,02/15/2017,Historical,Y1986,474686,103610,274699,136077,76829,45383,16409,96377
National Health Expenditures,02/15/2017,Historical,Y1987,516520,109652,300035,149177,83081,50339,17438,106834
National Health Expenditures,02/15/2017,Historical,Y1988,579278,120217,338282,175829,88965,55080,18408,120778
National Health Expenditures,02/15/2017,Historical,Y1989,644770,126651,387271,204775,101137,61952,19407,130848
National Health Expenditures,02/15/2017,Historical,Y1990,721393,137882,439113,233885,110182,73661,21385,144398
National Health Expenditures,02/15/2017,Historical,Y1991,788062,140815,492308,255092,120617,93211,23389,154940
National Health Expenditures,02/15/2017,Historical,Y1992,854068,143178,543122,274725,135996,108186,24215,167767
National Health Expenditures,02/15/2017,Historical,Y1993,916581,144098,593278,295294,149965,122373,25645,179205
National Health Expenditures,02/15/2017,Historical,Y1994,967221,142035,636747,308219,167670,134414,26444,188438
National Health Expenditures,02/15/2017,Historical,Y1995,1021638,144817,681482,325342,184393,144862,26885,195339
National Health Expenditures,02/15/2017,Historical,Y1996,1074414,150354,722128,343691,198750,152170,27518,201932
National Health Expenditures,02/15/2017,Historical,Y1997,1135545,161432,758575,359826,210376,160831,27541,215538
National Health Expenditures,02/15/2017,Historical,Y1998,1201972,176906,792527,385185,209420,168988,28933,232540
National Health Expenditures,02/15/2017,Historical,Y1999,1278303,187681,846086,417594,213173,183433,31886,244536
National Health Expenditures,02/15/2017,Historical,Y2000,1369697,198966,919448,458493,224829,200322,35803,251284
National Health Expenditures,02/15/2017,Historical,Y2001,1486766,206272,1014921,502498,247686,224061,40675,265574
National Health Expenditures,02/15/2017,Historical,Y2002,1629195,219314,1122023,561495,265381,248014,47133,287857
National Health Expenditures,02/15/2017,Historical,Y2003,1768155,235648,1222281,615693,282668,268873,55048,310226
National Health Expenditures,02/15/2017,Historical,Y2004,1896298,248479,1320644,658832,311122,290664,60027,327175
National Health Expenditures,02/15/2017,Historical,Y2005,2024226,263806,1414602,701724,339762,309249,63867,345819
National Health Expenditures,02/15/2017,Historical,Y2006,2156516,273196,1517815,737559,403690,306576,69990,365505
National Health Expenditures,02/15/2017,Historical,Y2007,2295650,289916,1609716,776628,432751,325755,74581,396018
National Health Expenditures,02/15/2017,Historical,Y2008,2399061,294881,1696163,803020,466971,344229,81944,408017
National Health Expenditures,02/15/2017,Historical,Y2009,2494669,293130,1796114,832551,498872,374432,90260,405424
National Health Expenditures,02/15/2017,Historical,Y2010,2596405,298727,1875102,863064,519253,397230,95556,422575
National Health Expenditures,02/15/2017,Historical,Y2011,2687902,308519,1948166,895098,546273,406742,100053,431217
National Health Expenditures,02/15/2017,Historical,Y2012,2795403,317607,2019609,925133,569513,422732,102231,458188
National Health Expenditures,02/15/2017,Historical,Y2013,2877574,325130,2086283,944901,590383,445403,105596,466161
National Health Expenditures,02/15/2017,Historical,Y2014,3029255,329652,2228203,999990,618452,497154,112607,471400
National Health Expenditures,02/15/2017,Historical,Y2015,3205556,338150,2384525,1072056,646243,545132,121094,482882
National Health Expenditures,02/15/2017,Projected,Y2016,3358235,350399,2508547,1135391,678599,565536,129022,499289
National Health Expenditures,02/15/2017,Projected,Y2017,3539264,365833,2651999,1208759,718688,586488,138064,521432
National Health Expenditures,02/15/2017,Projected,Y2018,3745726,382710,2816518,1280433,767884,621769,146432,546498
National Health Expenditures,02/15/2017,Projected,Y2019,3965530,401178,2990138,1351341,824902,658128,155767,574215
National Health Expenditures,02/15/2017,Projected,Y2020,4196742,424294,3168779,1415975,890544,696690,165571,603670
National Health Expenditures,02/15/2017,Projected,Y2021,4441778,446248,3360631,1488618,958788,737116,176110,634899
National Health Expenditures,02/15/2017,Projected,Y2022,4700350,468672,3564480,1564938,1033237,779740,186564,667198
National Health Expenditures,02/15/2017,Projected,Y2023,4972184,491957,3779592,1643909,1113920,824889,196874,700635
National Health Expenditures,02/15/2017,Projected,Y2024,5254607,516613,4002451,1725936,1196080,873202,207232,735542
National Health Expenditures,02/15/2017,Projected,Y2025,5548772,542316,4234062,1809094,1277834,929036,218098,772393
Health Consumption Expenditures,02/15/2017,Historical,Y1960,24706,12949,7497,5812,0,0,1685,4260
Health Consumption Expenditures,02/15/2017,Historical,Y1961,26332,13357,8236,6468,0,0,1768,4738
Health Consumption Expenditures,02/15/2017,Historical,Y1962,28414,14255,8999,7178,0,0,1822,5159
Health Consumption Expenditures,02/15/2017,Historical,Y1963,30918,15311,9892,7952,0,0,1940,5715
Health Consumption Expenditures,02/15/2017,Historical,Y1964,34130,16928,10971,9052,0,0,1919,6231
Health Consumption Expenditures,02/15/2017,Historical,Y1965,37186,18209,12023,10072,0,0,1951,6955
Health Consumption Expenditures,02/15/2017,Historical,Y1966,41227,18594,15673,10296,1842,1304,2231,6959
Health Consumption Expenditures,02/15/2017,Historical,Y1967,46502,18537,21109,10452,4924,3141,2592,6857
Health Consumption Expenditures,02/15/2017,Historical,Y1968,52689,20500,24379,11830,6218,3541,2789,7811
Health Consumption Expenditures,02/15/2017,Historical,Y1969,59097,22601,27565,13363,7045,4174,2983,8931
Health Consumption Expenditures,02/15/2017,Historical,Y1970,67046,24953,31763,15499,7672,5290,3302,10330
Health Consumption Expenditures,02/15/2017,Historical,Y1971,74339,26312,36727,17840,8443,6695,3749,11300
Health Consumption Expenditures,02/15/2017,Historical,Y1972,83350,28646,42617,20690,9325,8314,4288,12087
Health Consumption Expenditures,02/15/2017,Historical,Y1973,93092,31625,48027,22994,10730,9423,4880,13440
Health Consumption Expenditures,02/15/2017,Historical,Y1974,105884,34373,55956,26080,13428,11073,5375,15555
